Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
4,128,ARI,Evan Boehm,C,23,2018,0,0,1,6,6,31,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,2016
4,129,CLE,Derrick Kindred,S,22,2018,0,0,1,6,6,28,0,0,0,0,0,0,0,0,0,0,0,73,1,,TCU,2016
4,130,BAL,Alex Lewis,T,24,2018,0,0,1,3,3,12,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,2016
4,131,GNB,Blake Martinez,LB,22,2018,0,0,3,13,13,31,0,0,0,0,0,0,0,0,0,0,0,149,2,2,Stanford,2016
4,132,BAL,Willie Henry,DT,22,2018,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,23,,3.5,Michigan,2016
4,133,SFO,Rashard Robinson,CB,21,2018,0,0,0,7,6,28,0,0,0,0,0,0,0,0,0,0,0,46,2,,LSU,2016
4,134,BAL,Kenneth Dixon,RB,22,2018,0,0,0,3,3,13,0,0,0,0,0,101,426,3,30,162,1,,,,Louisiana Tech,2016
4,135,DAL,Dak Prescott,QB,23,2018,0,1,3,29,29,34,654,1003,7321,46,17,126,703,12,0,0,0,,,,Mississippi St.,2016
4,136,DEN,Devontae Booker,RB,24,2018,0,0,0,8,8,31,0,0,0,0,0,258,932,5,63,551,1,,,,Utah,2016
4,137,GNB,Dean Lowry,DE,22,2018,0,0,1,7,7,33,0,0,0,0,0,0,0,0,0,0,0,27,,4,Northwestern,2016
4,138,CLE,Seth Devalve,TE,23,2018,0,0,1,3,3,29,0,0,0,0,0,0,0,0,43,522,3,,,,Princeton,2016
4,139,BUF,Cardale Jones,QB,23,2018,0,0,0,0,0,1,6,11,96,0,1,1,-1,0,0,0,0,,,,Ohio St.,2016
5,140,TEN,Tajae Sharpe,WR,21,2018,0,0,2,5,5,18,0,0,0,0,0,1,1,0,43,553,2,,,,Massachusetts,2016
5,141,CAR,Zack Sanchez,CB,22,2016,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,,,Oklahoma,2016
5,142,SFO,Ronald Blair,DE,23,2018,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,23,,5.5,Appalachian St.,2016
5,143,OAK,DeAndre Washington,RB,23,2018,0,0,0,7,7,29,0,0,0,0,0,144,620,4,51,312,1,,,,Texas Tech,2016
5,144,DEN,Connor McGovern,G,23,2018,0,0,1,3,3,17,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,2016
5,145,SFO,John Theus,T,22,2016,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,2016
5,146,BAL,Matt Judon,DE,24,2018,0,0,2,9,9,32,0,0,0,0,0,0,0,0,0,0,0,65,,12,Grand Valley St.,2016
5,147,SEA,Quinton Jefferson,DT,23,2018,0,0,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,10,,1,Maryland,2016
5,148,TAM,Caleb Benenoch,T,22,2018,0,0,1,4,4,20,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,2016
5,149,NYG,Paul Perkins,RB,21,2017,0,0,0,5,5,25,0,0,0,0,0,153,546,0,23,208,0,,,,UCLA,2016
