,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
3,78,CHI,Marty Booker,WR,23,2009,0,1,7,48,30,157,3,10,126,2,0,18,41,0,539,6703,37,11,,,La-Monroe,1999
3,79,NYG,Dan Campbell,TE,23,2008,0,0,5,7,2,114,0,0,0,0,0,0,0,0,91,934,11,3,,,Texas A&M,1999
3,80,TAM,Martin Gramatica,K,23,2008,0,1,6,17,15,109,0,1,0,0,0,0,0,0,0,0,0,3,,,Kansas St.,1999
3,81,TEN,Zach Piller,G,23,2006,0,0,4,29,29,87,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,1999
3,82,SEA,Karsten Bailey,WR,22,2003,0,0,0,1,1,19,0,0,0,0,0,0,0,0,9,88,1,2,,,Auburn,1999
3,83,ARI,Tom Burke,DE,22,2002,0,0,1,8,8,36,0,0,0,0,0,0,0,0,0,0,0,49,,4.5,Wisconsin,1999
3,84,KAN,Larry Atkins,LB,24,2003,0,0,0,3,3,49,0,0,0,0,0,0,0,0,0,0,0,20,,,UCLA,1999
3,85,DAL,Dat Nguyen,LB,23,2005,0,0,4,38,38,90,0,0,0,0,0,0,0,0,0,0,0,389,7,6,Texas A&M,1999
3,86,BUF,Shawn Bryson,RB,22,2006,0,0,1,20,6,91,0,0,0,0,0,528,2144,6,185,1383,3,17,,,Tennessee,1999
3,87,GNB,Mike McKenzie,DB,23,2009,0,0,8,48,26,138,0,0,0,0,0,0,0,0,0,0,0,410,28,1,Memphis,1999
3,88,JAX,Anthony Cesario,G,,,0,0,0,,,,,,,,,,,,,,,,,,Colorado St.,1999
3,89,SFO,Chike Okeafor,DE,23,2009,0,0,7,45,9,150,0,0,0,0,0,0,0,0,0,0,0,325,2,53,Purdue,1999
3,90,NYJ,David Loverne,G,23,2004,0,0,2,12,2,63,0,0,0,0,0,0,0,0,0,0,0,,,,San Jose St.,1999
3,91,NWE,Tony George,DB,24,2000,0,0,0,3,3,31,0,0,0,0,0,0,0,0,0,0,0,13,,,Florida,1999
3,92,ATL,Jeff Paulk,FB,23,2000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,1999
3,93,DEN,Travis McGriff,WR,23,2001,0,0,0,1,1,34,0,0,0,0,0,0,0,0,5,88,1,,,,Florida,1999
3,94,GNB,Cletidus Hunt,DT,23,2004,0,0,3,29,29,85,0,0,0,0,0,0,0,0,0,0,0,118,,17,Kentucky St.,1999
3,95,PIT,Amos Zereoue,RB,22,2005,0,0,0,22,18,84,0,0,0,0,0,553,2137,10,137,1111,1,13,,,West Virginia,1999
4,96,IND,Paul Miranda,DB,23,2001,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,15,,,Central Florida,1999
4,97,PHI,John Welbourn,G,23,2007,0,0,7,40,27,103,0,0,0,0,0,0,0,0,0,0,0,,,,California,1999
4,98,CIN,Craig Yeast,WR,22,2001,0,0,0,4,4,35,0,0,0,0,0,3,-1,0,27,321,0,,,,Kentucky,1999
4,99,SFO,Anthony Parker,DB,23,2001,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,20,,,Weber St.,1999
4,100,CAR,Hannibal Navies,LB,22,2007,0,0,3,23,9,96,0,0,0,0,0,0,0,0,0,0,0,191,1,4.5,Colorado,1999
4,101,STL,Joe Germaine,QB,24,1999,0,0,0,1,1,3,9,16,136,1,2,3,0,0,0,0,0,,,,Ohio St.,1999
4,102,OAK,Dameane Douglas,WR,23,2002,0,0,0,2,,52,0,0,0,0,0,0,0,0,14,165,3,22,,,California,1999
4,103,DET,Sedrick Irvin,RB,21,2000,0,0,0,4,4,20,0,0,0,0,0,45,182,4,33,323,0,,,,Michigan St.,1999
