 Rnk, Player Name, School, Conf, Games Played, Cmp (passing), Att (passing),  Percent (passing),  Yards (passing),  Avg Yards (passing),AY/A (passing),TD (passing), Interceptins (passing), Rate (passing), Att (rushing), Yds (rushing), Avg Yards (rushing), TD (rushing), Year
13,Max Knake,Texas Christian,SWC,11,184,316,58.2,2624,8.3,8.8,24,7,148.6,27,-84,-3.1,1,1994
14,Wayne Cook,UCLA,Pac-10,11,179,302,59.3,2501,8.3,8.2,15,7,140.6,62,-145,-2.3,2,1994
15,Danny Wuerffel,Florida,SEC,12,132,212,62.3,1754,8.3,8.1,18,9,151.3,36,-45,-1.3,3,1994
16,Terry Dean,Florida,SEC,9,109,180,60.6,1492,8.3,8.0,20,10,155.7,26,3,0.1,1,1994
17,Derrick Taite,Mississippi State,SEC,11,110,220,50.0,1806,8.2,7.8,14,8,132.7,66,51,0.8,1,1994
18,Ryan Henry,Bowling Green State,MAC,11,174,293,59.4,2368,8.1,8.1,25,11,147.9,44,-55,-1.3,1,1994
19,John Walsh,Brigham Young,WAC,12,284,463,61.3,3712,8.0,7.9,29,14,143.3,77,-239,-3.1,0,1994
20,Mike McCoy,Utah,WAC,11,247,381,64.8,3035,8.0,8.1,28,11,150.2,75,69,0.9,1,1994
21,Jeff Watson,Baylor,SWC,11,102,201,50.7,1615,8.0,6.8,10,10,124.7,60,113,1.9,3,1994
22,Mike Maxwell,Nevada,Big West,11,271,447,60.6,3537,7.9,7.7,29,15,141.8,30,-39,-1.3,3,1994
23,Mike Groh,Virginia,ACC,11,138,216,63.9,1711,7.9,7.7,13,7,143.8,39,14,0.4,3,1994
24,Eric Zeier,Georgia,SEC,11,259,433,59.8,3396,7.8,7.5,24,14,137.5,21,61,2.9,1,1994
25,Frank Costa,Miami (FL),Big East,11,168,313,53.7,2443,7.8,6.6,15,15,125.5,43,-71,-1.7,0,1994
26,Bobby Hoying,Ohio State,Big Ten,13,170,301,56.5,2335,7.8,6.9,19,14,133.2,69,28,0.4,2,1994
27,Raymond Philyaw,Louisiana-Monroe,Ind,11,131,243,53.9,1893,7.8,7.6,13,7,131.2,64,95,1.5,2,1994
28,Ron Powlus,Notre Dame,Ind,11,119,222,53.6,1729,7.8,7.7,19,9,139.2,78,-48,-0.6,2,1994
29,Aaron Gilbert,Northern Illinois,Big West,11,93,185,50.3,1437,7.8,6.9,8,7,122.2,60,-23,-0.4,0,1994
30,Chad Johnston,West Virginia,Big East,13,124,242,51.2,1863,7.7,7.7,16,7,131.9,76,-27,-0.4,1,1994
31,Heath Graham,Southern Mississippi,Ind,11,121,208,58.2,1603,7.7,5.1,7,15,119.6,28,-124,-4.4,1,1994
32,Stoney Case,New Mexico,WAC,12,233,409,57.0,3117,7.6,7.4,22,12,132.9,140,532,3.8,11,1994
33,Chad May,Kansas State,Big 8,11,200,337,59.3,2571,7.6,7.9,18,6,137.5,55,-172,-3.1,3,1994
34,Erik Timpf,Central Michigan,MAC,11,90,174,51.7,1315,7.6,7.0,9,6,125.4,117,463,4.0,5,1994
35,Johnny Johnson,Illinois,Big Ten,12,198,333,59.5,2495,7.5,7.8,19,6,137.6,60,-2,0.0,0,1994
36,Corey Pullig,Texas A&M,SWC,11,162,275,58.9,2065,7.5,7.3,13,7,132.5,40,113,2.8,0,1994
37,Patrick Nix,Auburn,SEC,11,169,299,56.5,2206,7.4,7.2,13,7,128.2,41,59,1.4,6,1994
38,Dan White,Arizona,Pac-10,11,169,296,57.1,2181,7.4,7.3,14,7,129.9,47,-151,-3.2,1,1994
39,Jake Plummer,Arizona State,Pac-10,11,159,294,54.1,2179,7.4,7.1,15,9,127.1,75,-92,-1.2,1,1994
40,Terry Harvey,North Carolina State,ACC,10,116,199,58.3,1466,7.4,6.1,8,9,124.4,37,-21,-0.6,2,1994
41,Jason Stanicek,North Carolina,ACC,11,96,166,57.8,1222,7.4,6.3,7,7,125.1,88,281,3.2,3,1994
42,Danny Kanell,Florida State,ACC,11,227,380,59.7,2781,7.3,6.7,17,13,129.1,27,-127,-4.7,1,1994
43,Jay McDonagh,Western Michigan,MAC,11,172,293,58.7,2136,7.3,6.5,16,12,129.8,88,228,2.6,2,1994
44,Jamie Howard,LSU,SEC,11,140,274,51.1,1997,7.3,5.4,13,17,115.6,49,-53,-1.1,1,1994
45,Mark Hartsell,Boston College,Big East,10,159,257,61.9,1864,7.3,6.5,13,10,131.7,39,60,1.5,1,1994
46,Barry Lunney Jr.,Arkansas,SEC,11,101,183,55.2,1345,7.3,7.1,11,6,130.2,91,40,0.4,2,1994
47,Eric Vibberts,Cincinnati,Ind,11,114,182,62.6,1335,7.3,6.0,6,8,126.3,31,-104,-3.4,0,1994
48,Scott Milanovich,Maryland,ACC,11,229,333,68.8,2394,7.2,7.2,20,9,143.6,50,-62,-1.2,0,1994
49,Maurice DeShazo,Virginia Tech,Big East,11,164,295,55.6,2110,7.2,6.1,13,13,121.4,80,10,0.1,5,1994
50,Tim Gutierrez,San Diego State,WAC,11,139,219,63.5,1575,7.2,6.3,11,9,132.2,13,-76,-5.8,0,1994
51,Craig Whelihan,Pacific,Big West,9,162,326,49.7,2318,7.1,6.2,17,14,118.0,24,-12,-0.5,1,1994
52,Michael Armour,Eastern Michigan,MAC,11,135,230,58.7,1629,7.1,5.4,10,13,121.2,57,8,0.1,2,1994
53,Neil Dougherty,Miami (OH),MAC,11,120,201,59.7,1431,7.1,6.8,10,6,130.0,32,-9,-0.3,2,1994
54,Brent Baldwin,Ball State,MAC,11,100,188,53.2,1342,7.1,7.2,16,7,133.8,68,44,0.6,0,1994
55,Ray Lucas,Rutgers,Big East,10,156,268,58.2,1869,7.0,6.5,16,10,129.0,67,157,2.3,2,1994
56,Tim Schade,Minnesota,Big Ten,11,187,341,54.8,2338,6.9,6.4,14,10,120.1,35,18,0.5,1,1994
57,Damon Huard,Washington,Pac-10,11,153,275,55.6,1887,6.9,5.8,13,12,120.1,65,41,0.6,3,1994
58,Chad Davis,Washington State,Pac-10,12,197,339,58.1,2299,6.8,6.6,10,6,121.3,105,-104,-1.0,2,1994
59,Marcus Crandell,East Carolina,Ind,11,230,401,57.4,2687,6.7,6.1,21,15,123.4,71,96,1.4,1,1994
60,Ryan Huzjak,Toledo,MAC,11,170,289,58.8,1928,6.7,6.6,17,8,128.7,124,537,4.3,2,1994
61,Garrick McGee,Oklahoma,Big 8,11,149,284,52.5,1909,6.7,5.2,8,13,109.1,99,105,1.1,2,1994
62,Darrell Bevell,Wisconsin,Big Ten,11,139,231,60.2,1544,6.7,6.2,17,10,131.9,23,-68,-3.0,0,1994
63,Henry Burris,Temple,Big East,11,215,409,52.6,2716,6.6,6.3,21,12,119.4,60,-139,-2.3,3,1994
64,Spence Fischer,Duke,ACC,11,204,346,59.0,2285,6.6,6.5,16,8,125.1,62,26,0.4,3,1994
65,Marty Lowe,Louisville,Ind,11,186,319,58.3,2091,6.6,4.7,9,17,112.0,72,-64,-0.9,2,1994
66,Josh Nelson,Ole Miss,SEC,11,168,308,54.5,2028,6.6,6.7,15,6,122.0,77,-249,-3.2,2,1994
67,Jake Delhomme,Louisiana,Big West,11,119,259,45.9,1712,6.6,4.3,10,18,100.3,63,-186,-3.0,4,1994
68,Danny O'Neil,Oregon,Pac-10,12,182,341,53.4,2212,6.5,6.6,22,9,123.9,89,-25,-0.3,0,1994
69,Tommy Luginbill,Georgia Tech,ACC,11,182,327,55.7,2128,6.5,5.6,14,13,116.5,35,-88,-2.5,0,1994
70,Alli Abrew,San Jose State,Big West,11,135,270,50.0,1743,6.5,5.4,10,11,108.3,77,-157,-2.0,0,1994
71,Shawn Gray,UTEP,WAC,11,110,260,42.3,1662,6.4,5.0,9,12,98.2,114,478,4.2,3,1994
72,Cody Ledbetter,New Mexico State,Big West,11,120,247,48.6,1578,6.4,6.2,11,6,112.1,77,97,1.3,3,1994
73,Steve Taneyhill,South Carolina,SEC,11,231,367,62.9,2259,6.2,6.2,19,8,127.4,64,-62,-1.0,0,1994
74,Zebbie Lethridge,Texas Tech,SWC,11,132,261,50.6,1596,6.1,6.0,12,6,112.5,110,289,2.6,6,1994
75,Jim Kubiak,Navy,Ind,11,211,399,52.9,2388,6.0,4.6,10,17,102.9,63,-213,-3.4,0,1994
76,Ramon Flanigan,SMU,SWC,11,168,312,53.8,1869,6.0,5.2,6,8,105.4,182,502,2.8,12,1994
77,Jeff Handy,Missouri,Big 8,12,200,349,57.3,2030,5.8,5.5,12,8,112.9,41,-115,-2.8,0,1994
78,Matt Wells,Utah State,Big West,11,153,311,49.2,1812,5.8,4.9,11,11,102.7,94,55,0.6,0,1994
79,Jason W. Davis,UNLV,Big West,9,130,267,48.7,1539,5.8,4.3,12,14,101.5,44,6,0.1,1,1994
80,Tone Jones,Oklahoma State,Big 8,11,114,256,44.5,1468,5.7,3.9,8,14,92.1,92,215,2.3,2,1994
81,Rusty LaRue,Wake Forest,ACC,10,132,230,57.4,1303,5.7,4.3,5,9,104.3,55,30,0.5,1,1994
82,John Paci,Indiana,Big Ten,10,96,176,54.5,996,5.7,5.1,6,5,107.7,77,160,2.1,8,1994
83,Jason Martin,Louisiana Tech,Big West,11,160,342,46.8,1882,5.5,3.8,4,15,88.1,29,-56,-1.9,1,1994
84,John Fitzgerald,Tulsa,Ind,10,136,255,53.3,1409,5.5,3.4,5,14,95.2,65,236,3.6,2,1994
85,Sean Fitzgerald,Pitt,Big East,9,79,172,45.9,948,5.5,4.4,4,6,92.9,26,-139,-5.3,0,1994
86,Ronnie Gordon,Vanderbilt,SEC,11,86,203,42.4,991,4.9,3.1,2,9,77.8,161,577,3.6,13,1994
87,Sam Vink,Ohio,MAC,11,90,195,46.2,944,4.8,2.7,4,11,82.3,51,-95,-1.9,0,1994
88,Tracey Watts,Tulane,Ind,10,91,204,44.6,916,4.5,2.2,4,12,77.0,36,93,2.6,0,1994
89,Johnny Covington,Arkansas State,Big West,10,85,185,45.9,830,4.5,3.9,6,5,88.9,28,-11,-0.4,1,1994
1,Danny Wuerffel,Florida,SEC,11,210,325,64.6,3266,10.0,10.8,35,10,178.4,46,-141,-3.1,2,1995
2,Bobby Hoying,Ohio State,Big Ten,13,211,341,61.9,3269,9.6,9.7,29,12,163.4,59,21,0.4,2,1995
3,Donovan McNabb,Syracuse,Big East,11,128,207,61.8,1991,9.6,9.9,16,6,162.3,123,261,2.1,2,1995
4,Steve Sarkisian,Brigham Young,WAC,11,250,385,64.9,3437,8.9,8.3,20,14,149.8,82,-167,-2.0,2,1995
5,Matt Sherman,Iowa,Big Ten,11,159,271,58.7,2411,8.9,7.6,14,14,140.1,50,-145,-2.9,1,1995
6,Mike Maxwell,Nevada,Big West,9,277,409,67.7,3611,8.8,8.6,33,17,160.2,34,12,0.4,1,1995
7,Josh Wallwork,Wyoming,WAC,10,163,271,60.1,2363,8.7,8.1,21,13,149.4,49,181,3.7,4,1995
8,Donald Sellers,New Mexico,WAC,10,121,195,62.1,1693,8.7,9.1,11,3,150.5,134,494,3.7,8,1995
9,Matt Miller,Kansas State,Big 8,11,154,240,64.2,2059,8.6,8.4,22,11,157.3,129,309,2.4,8,1995
10,Billy Blanton,San Diego State,WAC,12,243,389,62.5,3300,8.5,8.0,23,14,146.0,69,24,0.3,0,1995
11,Ron Powlus,Notre Dame,Ind,10,124,217,57.1,1853,8.5,8.2,12,7,140.7,58,-34,-0.6,1,1995
12,Damon Huard,Washington,Pac-10,11,184,287,64.1,2415,8.4,8.2,11,6,143.3,61,55,0.9,2,1995
13,Raymond Philyaw,Louisiana-Monroe,Ind,10,167,320,52.2,2627,8.2,8.6,22,7,139.5,49,-43,-0.9,0,1995
14,Moses Moreno,Colorado State,WAC,10,99,175,56.6,1439,8.2,7.9,11,6,139.5,35,-139,-4.0,1,1995
15,Tony Banks,Michigan State,Big Ten,9,156,258,60.5,2089,8.1,6.2,9,15,128.4,52,-84,-1.6,1,1995
16,Chad Johnston,West Virginia,Big East,11,127,248,51.2,2019,8.1,6.8,13,13,126.4,62,-90,-1.5,0,1995
17,Ryan Clement,Miami (FL),Big East,10,119,201,59.2,1638,8.1,6.6,7,10,129.2,36,-76,-2.1,1,1995
18,Steve Taneyhill,South Carolina,SEC,11,261,389,67.1,3094,8.0,8.4,29,9,153.9,66,-38,-0.6,0,1995
19,Mike Fouts,Utah,WAC,12,179,323,55.4,2581,8.0,7.4,18,12,133.5,40,-137,-3.4,1,1995
20,John Hessler,Colorado,Big 8,11,154,266,57.9,2136,8.0,8.0,20,9,143.4,47,110,2.3,4,1995
21,Jake Delhomme,Louisiana,Big West,11,190,351,54.1,2761,7.9,7.7,20,10,133.3,51,8,0.2,1,1995
22,Peyton Manning,Tennessee,SEC,11,244,380,64.2,2954,7.8,8.5,22,4,146.5,41,6,0.1,5,1995
23,Patrick Nix,Auburn,SEC,11,201,331,60.7,2574,7.8,7.5,15,9,135.6,48,64,1.3,3,1995
24,Cody Ledbetter,New Mexico State,Big West,11,259,453,57.2,3501,7.7,7.1,30,20,135.1,90,223,2.5,2,1995
25,Cory Sauter,Minnesota,Big Ten,11,204,338,60.4,2600,7.7,7.0,18,13,134.9,54,-108,-2.0,2,1995
26,Mark Butterfield,Stanford,Pac-10,11,194,333,58.3,2533,7.6,7.5,19,9,135.6,63,48,0.8,1,1995
27,Mike Groh,Virginia,ACC,12,182,330,55.2,2510,7.6,7.2,15,10,128.0,58,-18,-0.3,4,1995
28,James Brown,Texas,SWC,11,163,322,50.6,2447,7.6,7.1,19,12,126.5,66,136,2.1,1,1995
29,Darrell Bevell,Wisconsin,Big Ten,11,195,300,65.0,2273,7.6,6.9,15,11,137.8,28,-111,-4.0,1,1995
30,Nealon Greene,Clemson,ACC,12,116,202,57.4,1537,7.6,6.8,10,8,129.8,102,359,3.5,2,1995
31,Charlie Batch,Eastern Michigan,MAC,11,244,421,58.0,3177,7.5,6.7,21,17,129.7,61,52,0.9,3,1995
32,Barry Lunney Jr.,Arkansas,SEC,12,180,292,61.6,2181,7.5,6.8,12,10,131.1,112,65,0.6,3,1995
33,Terry Harvey,North Carolina State,ACC,10,155,279,55.6,2099,7.5,6.9,16,11,129.8,52,-8,-0.2,3,1995
34,Brad Otton,USC,Pac-10,12,159,256,62.1,1923,7.5,7.9,14,4,140.1,22,-17,-0.8,1,1995
35,Danny Kanell,Florida State,ACC,11,257,402,63.9,2957,7.4,7.5,32,13,145.5,19,-41,-2.2,0,1995
36,Pat Barnes,California,Pac-10,11,197,362,54.4,2685,7.4,7.0,17,11,126.1,56,-160,-2.9,1,1995
37,Jake Plummer,Arizona State,Pac-10,11,173,301,57.5,2222,7.4,7.2,17,9,132.1,86,-27,-0.3,1,1995
38,Richie Donati,Fresno State,WAC,11,141,254,55.5,1890,7.4,6.4,12,11,124.9,22,-16,-0.7,0,1995
39,Mike Thomas,North Carolina,ACC,11,185,332,55.7,2436,7.3,5.4,10,19,115.9,61,53,0.9,1,1995
40,Derrick Taite,Mississippi State,SEC,11,165,309,53.4,2241,7.3,6.7,16,11,124.3,61,16,0.3,0,1995
41,Carl Dean,San Jose State,Big West,11,182,302,60.3,2214,7.3,6.8,14,10,130.5,63,-56,-0.9,3,1995
42,Rick Trefzger,Purdue,Big Ten,11,123,208,59.1,1521,7.3,6.2,6,8,122.4,40,-32,-0.8,1,1995
43,Patrick Mullins,Utah State,Big West,11,209,383,54.6,2774,7.2,6.0,12,16,117.4,38,-96,-2.5,3,1995
44,Jim Druckenmiller,Virginia Tech,Big East,11,151,294,51.4,2103,7.2,6.4,14,11,119.7,61,57,0.9,0,1995
45,Jason Martin,Louisiana Tech,Big West,11,206,370,55.7,2606,7.0,6.9,24,12,129.8,36,2,0.1,1,1995
46,Eric Vibberts,Cincinnati,Ind,11,136,264,51.5,1851,7.0,4.5,10,19,108.5,28,-113,-4.0,0,1995
47,Steve Schnur,Northwestern,Big Ten,12,141,257,54.9,1792,7.0,6.6,9,6,120.3,49,26,0.5,3,1995
48,Jeff Watson,Baylor,SWC,11,113,214,52.8,1508,7.0,6.3,5,6,114.1,45,3,0.1,1,1995
49,Corey Pullig,Texas A&M,SWC,11,165,307,53.7,2105,6.9,6.4,14,9,120.5,37,50,1.4,1,1995
50,Mark Williams,Kansas,Big 8,11,174,282,61.7,1957,6.9,6.3,14,10,129.3,82,239,2.9,2,1995
51,Ryan Huzjak,Toledo,MAC,11,156,273,57.1,1880,6.9,7.2,15,5,129.5,117,367,3.1,7,1995
52,Cade McNown,UCLA,Pac-10,12,122,245,49.8,1698,6.9,6.0,7,8,110.9,71,311,4.4,5,1995
53,Eric Moore,Oklahoma,Big 8,11,90,200,45.0,1375,6.9,5.6,7,9,105.3,91,231,2.5,1,1995
54,Josh Gulley,North Texas,Ind,10,88,166,53.0,1150,6.9,5.4,5,8,111.5,45,-54,-1.2,1,1995
55,Henry Burris,Temple,Big East,11,139,300,46.3,2004,6.7,4.9,11,17,103.2,66,40,0.6,4,1995
56,Zebbie Lethridge,Texas Tech,SWC,11,136,281,48.4,1885,6.7,6.7,13,6,115.7,122,137,1.1,9,1995
57,Chad Darnell,Central Michigan,MAC,11,130,258,50.4,1737,6.7,5.4,10,12,110.4,96,139,1.4,3,1995
58,Josh Nelson,Ole Miss,SEC,10,143,250,57.2,1675,6.7,6.3,9,6,120.6,43,-160,-3.7,0,1995
59,Rusty LaRue,Wake Forest,ACC,11,264,421,62.7,2775,6.6,6.0,17,13,125.2,84,26,0.3,0,1995
60,Wally Richardson,Penn State,Big Ten,11,193,335,57.6,2198,6.6,6.8,18,6,126.9,40,-121,-3.0,0,1995
61,Donnie Davis,Georgia Tech,ACC,11,124,223,55.6,1462,6.6,6.4,10,5,121.0,96,390,4.1,3,1995
62,Marty Lowe,Louisville,Ind,11,195,350,55.7,2268,6.5,6.8,16,5,122.4,45,-59,-1.3,1,1995
63,John Rayborn,UTEP,WAC,12,156,295,52.9,1913,6.5,5.6,16,13,116.4,111,256,2.3,4,1995
64,Brian Griese,Michigan,Big Ten,11,118,215,54.9,1395,6.5,5.6,11,9,117.9,28,-77,-2.8,2,1995
65,Jay McDonagh,Western Michigan,MAC,11,183,316,57.9,2038,6.4,6.1,13,8,120.6,125,214,1.7,3,1995
66,Ray Lucas,Rutgers,Big East,11,188,347,54.2,2180,6.3,5.8,16,11,115.8,77,276,3.6,6,1995
67,Sam Ricketts,Miami (OH),MAC,11,108,211,51.2,1337,6.3,6.2,14,7,119.7,44,53,1.2,0,1995
68,Marcus Crandell,East Carolina,Ind,11,235,447,52.6,2751,6.2,5.8,18,12,112.2,94,201,2.1,6,1995
69,Chad Davis,Washington State,Pac-10,9,174,301,57.8,1868,6.2,5.8,12,8,117.8,55,-64,-1.2,0,1995
70,Dan White,Arizona,Pac-10,11,150,297,50.5,1855,6.2,5.7,15,10,112.9,55,-155,-2.8,1,1995
71,John Ryan,Pitt,Big East,11,115,232,49.6,1439,6.2,4.1,9,15,101.5,18,-58,-3.2,0,1995
72,Chris Dittoe,Indiana,Big Ten,9,102,196,52.0,1214,6.2,5.1,3,6,103.0,71,-112,-1.6,4,1995
73,Spence Fischer,Duke,ACC,11,256,438,58.4,2668,6.1,5.2,12,14,112.3,64,104,1.6,3,1995
74,Tony Graziani,Oregon,Pac-10,11,231,426,54.2,2604,6.1,5.7,13,10,110.9,81,236,2.9,4,1995
75,Max Knake,Texas Christian,SWC,11,199,369,53.9,2237,6.1,5.0,10,13,106.8,28,-98,-3.5,0,1995
76,Chuck Clements,Houston,SWC,11,245,437,56.1,2641,6.0,5.6,15,11,113.1,36,-56,-1.6,0,1995
77,Jared Brown,UNLV,Big West,11,147,304,48.4,1783,5.9,4.2,13,17,100.6,69,284,4.1,5,1995
78,Brent Baldwin,Ball State,MAC,11,119,202,58.9,1192,5.9,4.6,5,8,108.7,97,248,2.6,6,1995
79,Johnny Covington,Arkansas State,Big West,11,194,370,52.4,2127,5.7,4.9,14,13,106.2,25,-30,-1.2,1,1995
80,Johnny Johnson,Illinois,Big Ten,9,99,199,49.7,1110,5.6,4.5,5,7,97.9,53,-92,-1.7,1,1995
81,Heath Graham,Southern Mississippi,Ind,11,161,329,48.9,1816,5.5,4.0,15,18,99.4,43,-86,-2.0,0,1995
82,Jason Mills,North Texas,Ind,10,105,216,48.6,1183,5.5,2.8,12,18,96.3,64,55,0.9,1,1995
83,Mark Hartsell,Boston College,Big East,11,189,349,54.2,1888,5.4,4.3,12,14,102.9,51,-163,-3.2,0,1995
84,Tone Jones,Oklahoma State,Big 8,12,104,218,47.7,1185,5.4,3.8,7,11,93.9,95,125,1.3,10,1995
85,Troy DeGar,Tulsa,Ind,11,120,245,49.0,1304,5.3,4.5,6,7,96.1,131,303,2.3,7,1995
86,Ryan Henry,Bowling Green State,MAC,11,90,177,50.8,938,5.3,2.9,6,12,93.0,20,-83,-4.2,0,1995
1,Danny Wuerffel,Florida,SEC,12,207,360,57.5,3625,10.1,10.6,39,13,170.6,63,-100,-1.6,2,1996
2,Steve Sarkisian,Brigham Young,WAC,14,278,404,68.8,4027,10.0,10.3,33,12,173.6,82,-44,-0.5,1,1996
3,Billy Blanton,San Diego State,WAC,11,227,344,66.0,3221,9.4,10.4,29,5,169.6,70,-60,-0.9,1,1996
4,Herb Tyler,LSU,SEC,11,109,188,58.0,1688,9.0,7.8,7,8,137.2,85,245,2.9,7,1996
5,Josh Wallwork,Wyoming,WAC,12,286,458,62.4,4090,8.9,8.9,33,15,154.7,67,119,1.8,2,1996
6,Jim Arellanes,Fresno State,WAC,11,173,281,61.6,2487,8.9,7.5,13,14,141.2,37,-137,-3.7,1,1996
7,Peyton Manning,Tennessee,SEC,11,243,380,63.9,3287,8.7,8.3,20,12,147.7,42,-131,-3.1,3,1996
8,Koy Detmer,Colorado,Big 12,11,208,363,57.3,3156,8.7,8.4,22,12,143.7,36,-6,-0.2,3,1996
9,Moses Moreno,Colorado State,WAC,12,193,335,57.6,2921,8.7,8.2,18,12,141.4,70,-18,-0.3,2,1996
10,Matt Sauk,Utah State,Big West,10,154,286,53.8,2489,8.7,7.1,8,14,126.4,36,79,2.2,2,1996
11,Chad Darnell,Central Michigan,MAC,11,189,348,54.3,2921,8.4,8.2,22,11,139.4,61,134,2.2,2,1996
12,Mike Fouts,Utah,WAC,11,177,302,58.6,2526,8.4,8.7,21,7,147.2,36,-79,-2.2,1,1996
13,Ron Powlus,Notre Dame,Ind,11,133,232,57.3,1942,8.4,8.6,12,4,141.3,53,8,0.2,0,1996
14,Pat Barnes,California,Pac-10,12,250,420,59.5,3499,8.3,9.0,31,8,150.1,86,-83,-1.0,1,1996
15,James Brown,Texas,Big 12,12,170,299,56.9,2468,8.3,7.6,17,12,136.9,48,119,2.5,2,1996
16,Ryan Clement,Miami (FL),Big East,11,164,272,60.3,2257,8.3,8.4,19,8,147.2,36,-142,-3.9,1,1996
17,Jim Druckenmiller,Virginia Tech,Big East,11,142,250,56.8,2071,8.3,8.7,17,5,144.8,74,205,2.8,0,1996
18,Donovan McNabb,Syracuse,Big East,11,118,215,54.9,1776,8.3,8.1,19,9,145.1,97,458,4.7,3,1996
19,Brent Baldwin,Ball State,MAC,11,121,205,59.0,1703,8.3,8.6,14,5,146.5,109,115,1.1,1,1996
20,John Dutton,Nevada,Big West,11,222,334,66.5,2750,8.2,8.7,22,6,153.8,27,-56,-2.1,1,1996
21,Jake Plummer,Arizona State,Pac-10,11,179,313,57.2,2575,8.2,8.4,23,9,144.8,85,63,0.7,3,1996
22,Daunte Culpepper,UCF,Ind,11,187,314,59.6,2565,8.2,7.2,19,15,138.6,94,102,1.1,2,1996
23,Ryan Fien,Idaho,Big West,11,267,455,58.7,3674,8.1,7.2,27,21,136.9,59,-65,-1.1,2,1996
24,Jason Martin,Louisiana Tech,Ind,11,247,415,59.5,3360,8.1,7.9,32,16,145.3,25,-40,-1.6,0,1996
25,Ramon Flanigan,SMU,WAC,11,106,212,50.0,1715,8.1,6.4,11,13,122.8,155,394,2.5,6,1996
26,Todd Schultz,Michigan State,Big Ten,9,130,209,62.2,1693,8.1,6.6,7,10,131.7,20,-72,-3.6,2,1996
27,Donald Sellers,New Mexico,WAC,11,157,256,61.3,2048,8.0,8.3,10,3,139.1,169,757,4.5,10,1996
28,Jake Delhomme,Louisiana,Ind,11,201,377,53.3,2901,7.7,6.7,20,17,126.4,58,-79,-1.4,0,1996
29,Thad Busby,Florida State,ACC,10,134,243,55.1,1866,7.7,6.8,16,12,131.5,53,-36,-0.7,1,1996
30,Brock Huard,Washington,Pac-10,11,108,217,49.8,1678,7.7,7.9,13,5,129.9,39,12,0.3,2,1996
31,Tim Sherman,Virginia,ACC,11,102,203,50.2,1572,7.7,5.7,4,11,111.0,69,228,3.3,3,1996
32,Dan Gonzalez,East Carolina,Ind,11,90,172,52.3,1322,7.7,6.9,7,6,123.3,26,-6,-0.2,0,1996
33,Anthony Wright,South Carolina,SEC,11,131,244,53.7,1850,7.6,7.1,8,6,123.3,97,90,0.9,3,1996
34,Ryan Leaf,Washington State,Pac-10,11,194,373,52.0,2811,7.5,7.2,21,12,127.5,69,-136,-2.0,6,1996
35,Scott Dreisbach,Michigan,Big Ten,11,149,269,55.4,2025,7.5,6.9,12,9,126.7,60,96,1.6,2,1996
36,Keith Smith,Arizona,Pac-10,11,117,193,60.6,1450,7.5,7.3,11,6,136.3,136,546,4.0,8,1996
37,Dameyune Craig,Auburn,SEC,11,169,310,54.5,2296,7.4,7.0,16,10,127.3,123,207,1.7,8,1996
38,Henry Burris,Temple,Big East,11,142,280,50.7,2084,7.4,7.0,12,8,121.7,22,105,4.8,0,1996
39,Cory Sauter,Minnesota,Big Ten,11,200,352,56.8,2578,7.3,6.7,14,11,125.2,71,-113,-1.6,3,1996
40,Tony Hilde,Boise State,Big West,12,170,338,50.3,2473,7.3,6.3,21,17,122.2,128,381,3.0,4,1996
41,Brad Otton,USC,Pac-10,12,196,370,53.0,2649,7.2,7.0,20,10,125.5,41,-186,-4.5,0,1996
42,Steve Schnur,Northwestern,Big Ten,12,221,368,60.1,2632,7.2,6.4,17,14,127.8,69,-32,-0.5,1,1996
43,Cade McNown,UCLA,Pac-10,11,176,336,52.4,2424,7.2,5.8,12,16,115.2,88,58,0.7,4,1996
44,Matt Sherman,Iowa,Big Ten,11,145,248,58.5,1792,7.2,6.4,12,10,127.1,53,-162,-3.1,0,1996
45,Scott Frost,Nebraska,Big 12,12,104,200,52.0,1440,7.2,7.8,13,3,130.9,126,438,3.5,9,1996
46,Jon Denton,UNLV,WAC,12,277,506,54.7,3591,7.1,6.7,25,16,124.3,88,38,0.4,3,1996
47,Mike Bobo,Georgia,SEC,11,175,344,50.9,2440,7.1,5.8,13,16,113.6,43,-201,-4.7,1,1996
48,Jamie Barnette,North Carolina State,ACC,10,102,226,45.1,1594,7.1,6.7,9,6,112.2,75,63,0.8,4,1996
49,Jeremie Watkins,Arkansas State,Ind,10,118,208,56.7,1481,7.1,6.6,15,9,131.7,28,-43,-1.5,0,1996
50,Joe Hamilton,Georgia Tech,ACC,10,108,188,57.4,1342,7.1,4.8,7,13,115.9,95,248,2.6,3,1996
51,Raymond Philyaw,Louisiana-Monroe,Ind,11,173,351,49.3,2445,7.0,6.9,16,8,118.3,68,-86,-1.3,3,1996
52,Freddie Kitchens,Alabama,SEC,12,152,302,50.3,2124,7.0,5.9,14,14,115.4,86,-127,-1.5,1,1996
53,Mike Samuel,Wisconsin,Big Ten,13,148,254,58.3,1752,6.9,5.8,8,10,118.7,83,155,1.9,5,1996
54,Todd Goebbel,Kent State,MAC,11,188,354,53.1,2419,6.8,6.4,19,12,121.4,80,124,1.6,5,1996
55,Chuck Clements,Houston,CUSA,11,223,354,63.0,2417,6.8,6.4,21,13,132.6,26,-83,-3.2,0,1996
